doc_id	split	source_file	sha256_txt	match_confidence	match_reason	query_used	source_title	doi	pmid	pmcid	publication_year	journal	publisher	epmc_is_open_access	epmc_license	openalex_is_oa	openalex_oa_status	openalex_licenses	unpaywall_is_oa	unpaywall_oa_status	unpaywall_licenses	crossref_license_urls	source_text_decision	decision_rationale
0	test	0text0.txt	3e71a8c8402c2c5f1d9fa6579158407563a8fd7cf17657e81a37e8048c486bb6	high	abstract_prefix_exact_match	"""Huntington's disease is a neurodegenerative autosomal disease results due to expansion of polymorphic CAG repeats in the huntingtin gene."""	Huntington's Chorea-a Rare Neurodegenerative Autosomal Dominant Disease: Insight into Molecular Genetics, Prognosis and Diagnosis.	10.1007/s12010-021-03523-x	34235640		2021	Applied biochemistry and biotechnology	Springer Science and Business Media LLC	N		False	closed					https://www.springer.com/tdm|https://www.springer.com/tdm	exclude_text	tdm_licence_only
1	train	0text1.txt	1fe441ab613d662bfa59fa231d1100ec08fe5f2857f41ffbc8d7f3280f57996f	manual_review	weak_title_or_query_match	Parkinson's and Huntington's diseases are two of the most common neurodegenerative disorders.	The Impact of Chemical Toxicants and Air Pollutants on Neurodegenerative Disorders and Their Underlying Potential Mechanisms: A Literature Review.	10.1002/hsr2.72256	41988392	PMC13077662	2026	Health science reports	Wiley	Y	cc by-nc-nd	True	gold	cc-by|cc-by-nc-nd				http://creativecommons.org/licenses/by-nc-nd/4.0/|http://doi.wiley.com/10.1002/tdm_license_1.1	manual_review	match_manual_review:weak_title_or_query_match; restrictive_cc_licence:cc-by-nc-nd
2	train	0text2.txt	2a828f2b86e80fb7d73515e3e4f9aec80e3ba49a7185bcc63453cd65c251be61	high	abstract_prefix_exact_match	"""Mitochondria play an essential role in supplying energy for the health and survival of neurons."""	Mitophagy Regulates Neurodegenerative Diseases.	10.3390/cells10081876	34440645	PMC8392649	2021	Cells	MDPI AG	Y	cc by	True	gold	cc-by|cc-by-sa				https://creativecommons.org/licenses/by/4.0/	include_text	clear_permissive_licence:cc-by|cc-by-sa
